scrap_date,install_date,install_ym,install_quarter,install_year,install_date_ambiguous,days_in_service,part_code,bladder_type,cause,target_life,bladder_life,diagnose,bladder_id,status
2025-11-15,2024-01-08,2024-01,2024Q1,2024.0,True,677.0,B-TU-002,Turnup,Leak,570.0,969.0,Pass,1/8/2024_22222,ทิ้ง
2024-11-13,2024-02-10,2024-02,2024Q1,2024.0,True,277.0,B-MT-006,MTG,Leak,400.0,530.0,Pass,2/10/2024_81034,ทิ้ง
2024-11-17,2024-04-10,2024-04,2024Q2,2024.0,True,221.0,B-TU-004,Turnup,Leak,400.0,468.0,Pass,4/10/2024_3212,ทิ้ง
2024-08-29,2024-05-06,2024-05,2024Q2,2024.0,True,115.0,B-TU-012,Turnup,Leak,290.0,254.0,Abnormal,5/6/2024_65735,ทิ้ง
2024-11-25,2024-05-11,2024-05,2024Q2,2024.0,True,198.0,B-TU-004,Turnup,Leak,400.0,577.0,Pass,5/11/2024_20153,ทิ้ง
2025-08-11,2024-05-18,2024-05,2024Q2,2024.0,False,450.0,B-TU-001,Turnup,Deform,450.0,5832.0,Pass,5/18/2024_11741,ทิ้ง
2024-09-16,2024-05-18,2024-05,2024Q2,2024.0,False,121.0,B-TU-001,Turnup,Deform,450.0,533.0,Pass,5/18/2024_1139,ทิ้ง
2024-08-21,2024-05-25,2024-05,2024Q2,2024.0,False,88.0,B-TU-002,Turnup,Leak,570.0,530.0,Abnormal,25/5/2024_9314,ทิ้ง
2025-01-10,2024-06-10,2024-06,2024Q2,2024.0,True,214.0,B-PU-001,Push,Leak,1525.0,3727.0,Pass,6/10/2024_2117,ทิ้ง
2025-03-09,2024-06-10,2024-06,2024Q2,2024.0,True,272.0,B-PU-001,Push,Leak,1525.0,5680.0,Pass,6/10/2024_2317,ทิ้ง
2025-08-08,2024-06-10,2024-06,2024Q2,2024.0,True,424.0,B-TU-001,Turnup,Deform,450.0,2443.0,Pass,6/10/2024_81827,ทิ้ง
2024-11-06,2024-06-10,2024-06,2024Q2,2024.0,True,149.0,B-TU-003,Turnup,Deform,830.0,472.0,Abnormal,6/10/2024_81734,ทิ้ง
