last_date,year_month,part_number,part_desc,bladder_type,size_in,cause,target_life,bladder_life,reached_target,bladder_id,status
2024-08-11,2024-08,0216-1-1666,"MTG bladder 22""23"" 0216-1-1666",MTG,22.0,Leak,400.0,53.0,0.0,7/3/2024_202958,ทิ้ง
2024-08-20,2024-08,0114-1-1033,"Bladder turnup 15"" 0114-1-1033 Part store",Turnup,15.0,Leak,540.0,279.0,0.0,8/13/2024_153411,ทิ้ง
2024-08-21,2024-08,0239-1-1112,"Bladder turmup 14"" 0239-1-1112",Turnup,14.0,Leak,570.0,530.0,0.0,25/5/2024_9314,ทิ้ง
2024-08-28,2024-08,0239-1-1094,"Bladder turnup 10 "" 0239-1-1094 part store",Turnup,10.0,Leak,400.0,297.0,0.0,27/7/2024_18217,ทิ้ง
2024-08-29,2024-08,0239-1-1137,"Bladder turnup 8"" 0239-1-1137",Turnup,8.0,Leak,290.0,254.0,0.0,5/6/2024_65735,ทิ้ง
2024-08-29,2024-08,0216-1-1666,"MTG bladder 22""23"" 0216-1-1666",MTG,22.0,Flabby,400.0,160.0,0.0,7/20/2024_2198,ทิ้ง
2024-08-30,2024-08,0216-1-1670,MTG bladder 0216-1-1670,MTG,,,890.0,338.0,0.0,6/16/2024_22353,ทิ้ง
2024-08-30,2024-08,0114-1-1033,"Bladder turnup 15"" 0114-1-1033 Part store",Turnup,15.0,Leak,540.0,34.0,0.0,6/17/2024_19913,ทิ้ง
2024-09-08,2024-09,0114-1-1033,"Bladder turnup 15"" 0114-1-1033 Part store",Turnup,15.0,Deform,540.0,374.0,0.0,8/21/2024_25731,ทิ้ง
2024-09-09,2024-09,0114-1-1032,"Bladder turnup 15"" 0114-1-1032",Turnup,15.0,Leak,1110.0,747.0,0.0,26/7/2024_16236,ทิ้ง
2024-09-12,2024-09,0114-1-1033,"Bladder turnup 15"" 0114-1-1033 Part store",Turnup,15.0,Leak,540.0,354.0,0.0,8/28/2024_204430,ทิ้ง
2024-09-12,2024-09,0114-1-1033,"Bladder turnup 15"" 0114-1-1033 Part store",Turnup,15.0,Deform,540.0,354.0,0.0,19/7/2024_104459,ทิ้ง
2024-09-13,2024-09,0137-1-1033,"Bladder turnup 22"" 0137-1-1033",Turnup,22.0,Deform,300.0,218.0,0.0,9/3/2024_141949,ทิ้ง
