day,event_id,machine_partno,machine,problem,fixed_by,fix_detail,issue_dt,finish_dt
2,BNS140207260802,M08203,BNS14,Robot ไม่เข้าปูขึ้น L1 แดง,,,2026-07-02 08:02:13,
5,B70507262207,,B7,เปลี่ยน Size 706,,,2026-07-05 22:07:15,
5,PAP110505221422,M01103,PAP11,aaa,,,2022-05-05 14:22:19,2022-05-05 14:48:00
6,TCSM170707260105,M18801,TCSM17,BDRยับ,,,2026-07-07 01:05:36,
15,PAP21B1507260905,M15103,PAP21B,Tail Stock not lock,,,2026-07-15 09:05:29,
16,BNS191607261549,,BNS19,เตรียม Drum Form M21701,,,2026-07-16 15:49:58,
4,PAP130406241805,M01103,PAP13,Cylinder Dram Leau,h352944,  Change Oring Cylinder New side R,2024-06-04 18:05:57,2024-06-04 17:00:00
2,PAP160212251618,M13702,PAP16,B/D รั่วด้าน R,h354256,  ช่อมด้วยวิธีการปะ,2025-12-02 16:18:23,2025-12-02 16:33:00
26,PAP192706260104,M19001,PAP19,มีรอยกดที่ขอบ Bead,H353350, ( Action=>>qo เปิด monchone เพื่อทำการตรวจสอบ * ระหว่างการเปิด monchone มีเสียงน๊อตล่วงที่ใต้ drum ครับ / qo ตรวจสอบน๊อตยึต ARS * อยู่ครบทุกตัว ครับ / qo ลอง inflate และ deflate drum ไม่มีการขัดตัวครับ / request setter เข้าช่วยตรวจสอบ setter ลองสั่งงาน crown ring * เข้า-ออก * ไม่ขัดตัวครับ / จึงคุยกับ setter ว่าน่าจะเป็นน๊อตที่หล่นไปนั่นแหละที่ทำให้เป็นรอยจึงคุยกันว่าลองสร้างอีกเส้นเพื่อดูว่ายังเป็นอยู่มั้ย / หลังจากสร้างออกมาไม่มีรอยและก็ปล่อยให้สร้างปกติ / และให้ operator ช่วยสังเกตุดูตอน drum inflate และ deflate ว่ามีเสียงผิดปกตหรือไม่ถ้าพบความผิดปกติให้เรียบแจ้งทันทีครับ / carcass ที่เป็นรอยที่ขอบ bead ผมได้ให้ operator ทำการ hold ไว้ที่คอก non-conform ไว้ก่อนครับเนื่องเป็นรอยค่อนข้างลึกครับ ),2026-06-27 01:04:49,2026-06-27 01:09:00
25,PAP162504261513,M18201,PAP16,B/D รั่วด้าน R,H353362, B/d รั่ว 2 แผล ขอบบนปะไม่อยู่  จึงเปลี่ยนใหม่,2026-04-25 15:13:50,2026-04-25 16:00:00
30,BNS143011221645,M15501,BNS14,Faulth flang,H355773, Caribet ใหม่,2022-11-30 16:45:40,2022-11-30 16:50:00
7,PAP210708232044,M08201,PAP21,B/D Turn up ไม่ขึ้น ด้านR,H353362, Clean quick exshust,2023-08-07 20:44:12,2023-08-07 21:00:00
12,PAP201204261107,M05102,PAP20,Drum ไม่หุบ,H353362, Crawriing drum ค้าง Manaul valve crawring Drum และ test เข้า step auto ใหมี,2026-04-12 11:07:31,2026-04-12 11:15:00
1,BNS140106242027,M08201,BNS14,ฟ่อแฟรง,H353362, Fault rolldown. ให้ operator แจ้ง sector4 แก้ไข,2024-06-01 20:27:21,2024-06-01 20:35:00
28,PAP21B2802261817,M08401,PAP21B, Bladder turn up ด้าน AR หุบคา Drum,H355773, Hange Bladder Turnup AR18:20-18:50 Followสร้าง1เส้นยังหุบคาDrum แจ้งQoช่วยแก้ไขResipeให้ แล้วFollwสร้างได้,2026-02-28 18:17:36,2026-02-28 19:30:00
23,RZB32306241919,M05102,RZB3,rzbตุดไม่สุด,้353794, load recipe เข้าไปใหม่ครับ,2024-06-23 19:19:10,2024-07-23 20:00:00
28,BNS142906260239,M08201,BNS14,Fault Flange 132,H353362, แก้ fault caribret drum,2026-06-29 02:39:42,2026-06-29 02:50:00
22,PAP112211240850,M01103,PAP11,Manchon  ห่าง ทําการเปลี่ยนใหม่,H355343, ใส่stidกลาง,2024-11-22 08:50:10,2024-11-22 09:30:00
20,PAP162110250228,M08401,PAP16,ไม่ได้ associate arcode,็H355622, ทำการผูก associate arcode T03,2025-10-21 02:28:49,2025-10-21 03:00:00
24,PAP21B2411250924,M08201,PAP21B,ใบมีด RIC off spec,h354217, ปรับตำแหน่ง ใบมีดใหม่,2025-11-24 09:24:12,2025-11-24 10:00:00
10,PAP161007261307,M18201,PAP16,B/D รั่วด้าน R,H355343, ปะB/D ด้าน R,2026-07-10 13:07:34,2026-07-10 13:30:00
13,PAP161306260856,M21401,PAP16,ก่อนปูGI Drumไม่กลาง,H355773, พบวาล์วในตู้ลมรั่วให้O/Pแจ้งsec.4,2026-06-13 08:56:45,2026-06-13 09:20:00
24,PAP132404260829,M12302,PAP13,Monchon ชำรุด,H355773, รอแพลนเปลี่ยกะc เนื่องจากกะAติดงาน+ออนฟอPAPน้อย,2026-04-24 08:29:42,2026-04-24 08:45:00
9,BNS200906261136,M13105,BNS20,bandage off centerติดค่าMAX,H353350,( Action=>>adjust parameter BNST- Op52 Preconformation Position form 953 mm. to 933 mm. / adjust parameter BNST- Op52 Carcass Pressure For Preconformation form 0.29 bar to 0.26 bar / adjust parameter BNST- Op52 Flange or MSB Speed form 3  to 2 / adjust parameter BNST- Op53 Time Delay of Move Flange form 0 sec. to 10 sec. / adjust parameter BNST- Op53 Flange or MSB Speed form 10 to 4 ครับ ),2026-06-09 11:36:27,2026-06-09 12:05:00
25,RZB12512250923,M01103,RZB1,ตุ๊ดยับด้านซ้าย,H353350,( Action=>>arm AR side ขึ้นสูงกว่า arm R side จึงทำการ calibrate arm AR side - 30 degrees ) ทำเอง,2025-12-25 09:23:11,2025-12-25 09:45:00
25,RZB52512251310,M20101,RZB5,ตุ๊ด เป็นกีบ,H353350,( Action=>>arm R side ขึ้นสูงกว่า arm AR side จึงทำการ calibrate arm AR side - 20 degrees ) ทำเอง,2025-12-25 13:10:10,2025-12-25 13:25:00
23,TCSM172312251528,M18801,TCSM17,มียางที่เอาลงอยากให้ manual เบ่งให้ใหม่,H353350,( Action=>>manual ตั้งแต่ step encarcass - conformation zone 6 and confirm centering after conformation * ok * ),2025-12-23 15:28:38,2025-12-23 15:35:00
23,TCSM172312251634,M18801,TCSM17,มียางที่เอาลงอยากให้ manual เบ่งให้ใหม่,H353350,( Action=>>manual ตั้งแต่ step encarcass - conformation zone 6 and confirm centering after conformation * ok * ),2025-12-23 16:34:29,2025-12-23 16:39:00
23,TCSM172312251754,M18801,TCSM17,Problem : มียางที่เอาลงอยากให้ manual เบ่งให้ใหม่,H353350,( Action=>>manual ตั้งแต่ step encarcass - conformation zone 6 and confirm centering after conformation * ok * ),2025-12-23 17:54:15,2025-12-23 18:00:00
30,BNS163006261927,M18201,BNS16,Fault Rolldown,H353350,( Action=>>เคลียร์ fault และลอกชิ้นงาน BDR ออกแล้วนำชิ้นงาน BDR ชิ้นใหม่มาปูใช้งานครับ ),2026-06-30 19:27:02,2026-06-30 19:35:00
18,PAP21B1812251018,M08201,PAP21B,"PAP21B Trun ยับด้าน AR Sector 1,2,3,4",H353350,( Action=>>วาง elastic 110 mm. บน bladder ก่อนทำการ turn up / แล้ว follow สร้างหลัง turn up ไมมีพับยับครับ ),2025-12-18 10:18:25,2025-12-18 10:25:00
18,PAP21B1812252107,M08201,PAP21B,Bladder does  not turn up  at R,H353350,( Action=>>วาง elastic 110 mm. บน bladder ก่อนทำการ turn up / แล้ว follow สร้างหลัง turn up ไมมีพับยับครับ ),2025-12-18 21:07:07,2025-12-18 21:15:00
20,PAP21B2012252018,M08201,PAP21B,Bladder turn up ยับ,H353350,( Action=>>วาง elastic 110 mm. บน bladder ก่อนทำการ turn up / แล้ว follow สร้างหลัง turn up ไมมีพับยับครับ ),2025-12-20 20:18:11,2025-12-20 20:25:00
11,PAP141106230936,M15501,PAP14,ยางไหลไปทางขวา,H353350,"* BMA นี้ RZB2 เป็นคนเปิดแต่ลงเครื่องผิดเป็น PAP14 *
ทำการปรับแขนด้านซ้ายลงอีก 5 mm. ครับเพื่อให้ดึงยางกลับ",2023-06-11 09:36:20,2023-06-11 10:00:00
