LastDate,runberpartnumber,Bladder name,Status,Cause,Target,Bladder Life,Diagnose,,,
15 March 2026,B-TU-013,3/1/2026_211355,ทิ้ง,"Deform (เบี้ยว, ผิดรูปร่าง)",830,358,Abnormal,,,
17 September 2025,B-TU-013,7/29/2025_13107,ทิ้ง,"Deform (เบี้ยว, ผิดรูปร่าง)",830,641,Abnormal,,,
09 March 2026,B-MT-008,1/24/2026_04359,ทิ้ง,Leak (รั่ว),420,893,Pass,,,
23 January 2026,B-MT-008,"December 16, 2024_04649",ทิ้ง,Leak (รั่ว),420,409,Abnormal,,,
15 December 2024,B-MT-008,12/4/2024_02540,ทิ้ง,Leak (รั่ว),420,255,Abnormal,,,
04 June 2026,B-PU-001,11/28/2025_162723,ทิ้ง,Leak (รั่ว),1525,3666,Pass,,,
02 June 2026,B-PU-001,7/23/2025_111247,ทิ้ง,Leak (รั่ว),1525,6212,Pass,,,
07 March 2026,B-PU-001,12/15/2024_55748,ทิ้ง,Leak (รั่ว),1525,8291,Pass,,,
31 January 2026,B-PU-001,11/2/2025_01144,ทิ้ง,Leak (รั่ว),1525,1682,Pass,,,
06 November 2025,B-PU-001,10/16/2024_235650,ทิ้ง,Leak (รั่ว),1525,6373,Pass,,,
02 October 2025,B-PU-001,1/9/2025_174238,ทิ้ง,Leak (รั่ว),1525,3883,Pass,,,
23 July 2025,B-PU-001,2/8/2025_83857,ทิ้ง,Leak (รั่ว),1525,5349,Pass,,,
29 June 2025,B-PU-001,2/26/2025_115417,ทิ้ง,Leak (รั่ว),1525,3944,Pass,,,
09 March 2025,B-PU-001,6/10/2024_2317,ทิ้ง,Leak (รั่ว),1525,5680,Pass,,,
10 January 2025,B-PU-001,6/10/2024_2117,ทิ้ง,Leak (รั่ว),1525,3727,Pass,,,
12 July 2026,B-PU-001,6/4/2026_82513,ทิ้ง,Leak (รั่ว),1525,1304,Abnormal,,,
05 June 2026,B-PU-001,6/2/2026_202347,ทิ้ง,Leak (รั่ว),1525,61,Abnormal,,,
08 February 2025,B-PU-001,1/10/2025_91514,ทิ้ง,Leak (รั่ว),1525,968,Abnormal,,,
01 November 2025,B-PU-001,10/2/2025_10326,ทิ้ง,Leak (รั่ว),1525,992,Abnormal,,,
19 September 2025,B-PU-001,8/14/2025_9595,ทิ้ง,Leak (รั่ว),1525,1136,Abnormal,,,
14 December 2024,B-PU-001,10/17/2024_92942,ทิ้ง,Leak (รั่ว),1525,1299,Abnormal,,,
04 June 2026,B-PU-002,6/26/2025_10413,ทิ้ง,Leak (รั่ว),1680,3059,Pass,,,
01 August 2025,B-PU-002,3/25/2025_153521,ทิ้ง,Leak (รั่ว),1680,397,Abnormal,,,
03 December 2024,B-PU-002,14/9/2024_103236,ทิ้ง,Leak (รั่ว),1680,1381,Abnormal,,,
25 June 2026,B-PU-003,6/5/2025_0140,ทิ้ง,Leak (รั่ว),630,2988,Pass,,,
